place_id,data_id,name,rating,review_count,price,type,types,address,phone,website,latitude,longitude,labels,search_neighborhoods
ChIJCQbEvTDGxokRneVcOpxMXDI,0x89c6c630bdc40609:0x325c4c9c3a5ce59d,The Dandelion,4.6,5558.0,$20–60,Restaurant,"Restaurant, Bar, British restaurant, Takeout Restaurant, Pub","124 S 18th St, Philadelphia, PA 19103",(215) 558-2500,https://thedandelionpub.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,39.950998899999995,-75.1706311,"gluten free restaurants, restaurants","Center City Philadelphia PA, Rittenhouse Philadelphia PA, South Philadelphia PA"
ChIJicQ2ljDGxokRH_KV3ONo-B4,0x89c6c6309636c489:0x1ef868e3dc95f21f,The Love.,4.6,1985.0,$30–90,Restaurant,"Restaurant, American restaurant, Bar, Brunch restaurant, Cocktail bar, Lounge bar, Lunch restaurant, New American restaurant, Wine bar","130 S 18th St, Philadelphia, PA 19103",(215) 433-1555,https://theloverestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,39.950607,-75.1709389,"gluten free restaurants, restaurants, vegetarian restaurants","Center City Philadelphia PA, Rittenhouse Philadelphia PA"
ChIJ09z2qQzHxokR-1gpzJ4Sgm0,0x89c6c70ca9f6dcd3:0x6d82129ecc2958fb,Darling Jack's Tavern,4.6,508.0,$20–30,Restaurant,Restaurant,"104 S 13th St, Philadelphia, PA 19107",(215) 546-4200,http://www.darlingjacks.com/,39.950109999999995,-75.1621167,restaurants,Center City Philadelphia PA
ChIJ6_UiaC_GxokRxRLbUmfNszM,0x89c6c62f6822f5eb:0x33b3cd6752db12c5,El Vez,4.5,6516.0,$20–30,Restaurant,"Restaurant, Brunch restaurant, Eclectic restaurant, Family restaurant, Latin American restaurant, Lunch restaurant, Takeout Restaurant, Mexican restaurant, Spanish restaurant, Taco restaurant","121 S 13th St, Philadelphia, PA 19107",(215) 928-9800,https://elvezrestaurant.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,39.949701999999995,-75.1617703,"Mexican restaurants, gluten free restaurants, restaurants","Center City Philadelphia PA, Old City Philadelphia PA, Rittenhouse Philadelphia PA, South Philadelphia PA, University City Philadelphia PA"
ChIJrWKnrM3HxokRykMoFT3yhpk,0x89c6c7cdaca762ad:0x9986f23d152843ca,Wilder,4.6,1059.0,$20–80,New American restaurant,"New American restaurant, Event venue, Fine dining restaurant, Pizza restaurant, Pizza Takeout, Restaurant","2009 Sansom St, Philadelphia, PA 19103",(215) 309-2149,https://wilderphilly.com/,39.951479899999995,-75.17402799999999,"Italian restaurants, gluten free restaurants, restaurants, vegetarian restaurants","Center City Philadelphia PA, Rittenhouse Philadelphia PA"
ChIJ2Xk-fzfGxokRQZMpUsa-jJQ,0x89c6c6377f3e79d9:0x948cbec652299341,Vernick Food & Drink,4.7,1103.0,$100+,New American restaurant,"New American restaurant, Bar, Restaurant","2031 Walnut St, Philadelphia, PA 19103",(267) 639-6644,https://www.vernickphilly.com/vernick-food-and-drink,39.950890099999995,-75.1748669,restaurants,"Center City Philadelphia PA, Rittenhouse Philadelphia PA"
ChIJqyD-RZ3IxokRlperfPwPx9M,0x89c6c89d45fe20ab:0xd3c70ffc7cab9796,Talula's Garden,4.8,3095.0,$30–90,Restaurant,"Restaurant, American restaurant, Brunch restaurant, Cocktail bar, Family restaurant, Gluten-free restaurant, New American restaurant","210 W Washington Square, Philadelphia, PA 19106",(215) 592-7787,http://www.talulasgarden.com/?utm_source=Google%20My%20Business&utm_medium=Website%20Button,39.947260199999995,-75.1535347,"gluten free restaurants, restaurants, vegan restaurants, vegetarian restaurants","Center City Philadelphia PA, Old City Philadelphia PA, Rittenhouse Philadelphia PA, South Philadelphia PA, University City Philadelphia PA"
ChIJOxKK_y_GxokRAcSUh1dzBbM,0x89c6c62fff8a123b:0xb30573578794c401,Butcher and Singer,4.6,2469.0,$100+,Restaurant,"Restaurant, American restaurant, Chophouse restaurant, Cocktail bar, Family restaurant, Fine dining restaurant, Takeout Restaurant, Steak house, Wine bar","1500 Walnut St, Philadelphia, PA 19102",(215) 732-4444,https://butcherandsinger.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,39.949473,-75.1662616,restaurants,Center City Philadelphia PA
ChIJf7rSRDjGxokR1cJYp_u6uv8,0x89c6c63844d2ba7f:0xffbabafba758c2d5,Friday Saturday Sunday,4.7,889.0,$100+,New American restaurant,"New American restaurant, American restaurant, Bar, Restaurant","261 S 21st St, Philadelphia, PA 19103",(215) 546-4232,http://fridaysaturdaysunday.com/,39.9489446,-75.1759667,restaurants,"Center City Philadelphia PA, Rittenhouse Philadelphia PA"
ChIJOX1Kai_GxokRA9FwrimJP-Y,0x89c6c62f6a4a7d39:0xe63f8929ae70d103,Barbuzzo,4.5,2305.0,$20–60,Mediterranean restaurant,Mediterranean restaurant,"110 S 13th St, Philadelphia, PA 19107",(215) 546-9300,http://barbuzzo.com/,39.9500062,-75.1621608,restaurants,Center City Philadelphia PA
ChIJf31Ku3nHxokRG2R6LRpXXFE,0x89c6c779bb4a7d7f:0x515c571a2d7a641b,My Loup,4.6,279.0,$100+,Restaurant,Restaurant,"2005 Walnut St, Philadelphia, PA 19103",(267) 239-5925,http://myloupphl.com/,39.9508012,-75.1739867,restaurants,"Center City Philadelphia PA, Rittenhouse Philadelphia PA"
ChIJs8ROVhTHxokR1L8sLi5_2wo,0x89c6c714564ec4b3:0xadb7f2e2e2cbfd4,Grandma's Philly,4.7,4028.0,$20–60,Thai restaurant,"Thai restaurant, Bar, Lounge bar, Small plates restaurant","1304 Walnut St, Philadelphia, PA 19107",(215) 600-4840,http://www.grandmasphilly.com/,39.9489101,-75.1624159,"restaurants, vegetarian restaurants",Center City Philadelphia PA
ChIJBdUeZi_GxokR2uEUM6HYpJ4,0x89c6c62f661ed505:0x9ea4d8a13314e1da,Double Knot,4.6,2814.0,$50–100,Japanese restaurant,"Japanese restaurant, Izakaya restaurant, Restaurant, Sushi restaurant","120 S 13th St, Philadelphia, PA 19107",(215) 631-3868,https://www.doubleknotphilly.com/,39.9496356,-75.1621019,"Japanese restaurants, restaurants","Center City Philadelphia PA, Old City Philadelphia PA, Rittenhouse Philadelphia PA, South Philadelphia PA, University City Philadelphia PA"
ChIJjaJHUYTIxokR6hUWfTrQpu4,0x89c6c8845147a28d:0xeea6d03a7d1615ea,High Street,4.5,1197.0,$20–80,Restaurant,"Restaurant, American restaurant, Bar","101 S 9th St Suite 106, Philadelphia, PA 19107",(215) 625-0988,http://www.highstreetphilly.com/,39.9494611,-75.15546839999999,restaurants,Center City Philadelphia PA
ChIJIdC4lSXGxokRdPjrc50P1VY,0x89c6c62595b8d021:0x56d50f9d73ebf874,Bud & Marilyn's,4.5,2472.0,$20–30,American restaurant,"American restaurant, Restaurant","1234 Locust St, Philadelphia, PA 19107",(215) 546-2220,http://budandmarilyns.com/,39.947807999999995,-75.16218429999999,restaurants,Center City Philadelphia PA
ChIJMW-WlpXHxokRw9Sf2FaFXjE,0x89c6c79596966f31:0x315e8556d89fd4c3,Her Place Supper Club,4.7,260.0,$100+,French restaurant,"French restaurant, Italian restaurant, Restaurant","1740 Sansom St, Philadelphia, PA 19103",,http://www.herplacephilly.com/,39.9507452,-75.1701679,restaurants,"Center City Philadelphia PA, Rittenhouse Philadelphia PA"
